order_id,customer_id,region,category,sales,profit,order_date,ship_mode,shipping_fee,return_reason
O-001,C-001,East,Furniture,560.0,78.0,2025-01-04,Standard,30.0,
O-002,C-002,West,Office Supplies,240.0,42.0,2025-01-08,Express,55.0,Damaged product
O-003,C-003,Central,Technology,890.0,145.0,2025-01-12,Standard,25.0,
O-004,C-004,East,Furniture,320.0,51.0,2025-01-15,Second Class,40.0,
O-005,C-005,South,Technology,1100.0,160.0,2025-01-17,Standard,35.0,
O-006,C-006,Central,Furniture,780.0,95.0,2025-01-18,Express,60.0,
O-007,C-007,West,Technology,450.0,62.0,2025-01-20,Second Class,45.0,Customer dissatisfaction
O-008,C-008,East,Office Supplies,220.0,30.0,2025-01-21,Standard,32.0,
O-009,C-009,South,Furniture,980.0,155.0,2025-01-22,Express,58.0,
O-010,C-010,West,Technology,1500.0,200.0,2025-01-23,Standard,30.0,
O-011,C-011,Central,Office Supplies,390.0,52.0,2025-01-25,Express,62.0,
O-012,C-012,East,Furniture,640.0,83.0,2025-01-27,Second Class,42.0,Late delivery
O-013,C-013,South,Technology,970.0,142.0,2025-01-28,Standard,33.0,
O-014,C-014,West,Furniture,830.0,120.0,2025-01-29,Express,57.0,
O-015,C-015,East,Office Supplies,270.0,38.0,2025-01-31,Standard,34.0,Wrong item shipped
O-016,C-016,Central,Technology,1150.0,178.0,2025-02-01,Second Class,39.0,
O-017,C-017,West,Furniture,430.0,66.0,2025-02-02,Express,59.0,
O-018,C-018,South,Office Supplies,340.0,48.0,2025-02-03,Standard,28.0,
O-019,C-019,Central,Technology,890.0,134.0,2025-02-04,Standard,35.0,Packaging issue
O-020,C-020,East,Furniture,720.0,110.0,2025-02-05,Express,60.0,
O-021,C-021,West,Technology,610.0,88.0,2025-02-06,Second Class,38.0,
O-022,C-022,Central,Office Supplies,200.0,25.0,2025-02-07,Standard,26.0,
O-023,C-023,South,Technology,1420.0,210.0,2025-02-08,Express,61.0,Product defect
O-024,C-024,East,Furniture,460.0,69.0,2025-02-09,Standard,30.0,
O-025,C-025,Central,Technology,930.0,145.0,2025-02-10,Second Class,40.0,
O-026,C-026,West,Office Supplies,310.0,41.0,2025-02-11,Express,56.0,
O-027,C-027,South,Furniture,870.0,125.0,2025-02-12,Standard,33.0,Damaged during transit
O-028,C-028,Central,Technology,1260.0,190.0,2025-02-13,Second Class,37.0,
O-029,C-029,East,Office Supplies,280.0,37.0,2025-02-14,Standard,31.0,
O-030,C-030,West,Furniture,950.0,135.0,2025-02-15,Express,63.0,
O-031,C-031,Central,Technology,880.0,132.0,2025-02-16,Second Class,45.0,
O-032,C-032,South,Furniture,540.0,74.0,2025-02-17,Standard,30.0,Incorrect specifications
O-033,C-033,East,Office Supplies,310.0,43.0,2025-02-18,Express,60.0,
O-034,C-034,Central,Technology,1180.0,168.0,2025-02-19,Standard,36.0,
O-035,C-035,West,Furniture,630.0,87.0,2025-02-20,Second Class,41.0,
O-036,C-036,South,Technology,960.0,142.0,2025-02-21,Standard,29.0,
O-037,C-037,Central,Furniture,780.0,108.0,2025-02-22,Express,58.0,
O-038,C-038,East,Office Supplies,260.0,33.0,2025-02-23,Standard,28.0,Color mismatch
O-039,C-039,West,Technology,1450.0,210.0,2025-02-24,Express,64.0,
O-040,C-040,South,Furniture,510.0,72.0,2025-02-25,Second Class,43.0,
O-041,C-041,Central,Office Supplies,370.0,44.0,2025-02-26,Standard,35.0,
O-042,C-042,East,Furniture,610.0,80.0,2025-02-27,Express,62.0,
O-043,C-043,West,Technology,920.0,135.0,2025-02-28,Standard,27.0,
O-044,C-044,Central,Furniture,860.0,122.0,2025-03-01,Second Class,40.0,Missing accessories
O-045,C-045,South,Technology,1050.0,158.0,2025-03-02,Express,59.0,
O-046,C-046,East,Office Supplies,210.0,28.0,2025-03-03,Standard,29.0,
O-047,C-047,Central,Furniture,900.0,131.0,2025-03-04,Standard,33.0,
O-048,C-048,South,Technology,1320.0,195.0,2025-03-05,Express,66.0,
O-049,C-049,West,Office Supplies,250.0,34.0,2025-03-06,Second Class,42.0,Late delivery
O-050,C-050,East,Furniture,760.0,112.0,2025-03-07,Standard,31.0,
O-051,C-051,Central,Technology,870.0,128.0,2025-03-08,Express,55.0,
O-052,C-052,South,Office Supplies,330.0,46.0,2025-03-09,Standard,30.0,Defective unit
O-053,C-053,West,Furniture,680.0,97.0,2025-03-10,Second Class,38.0,
O-054,C-054,Central,Technology,1140.0,172.0,2025-03-11,Standard,34.0,
O-055,C-055,East,Furniture,920.0,140.0,2025-03-12,Express,65.0,Quality not as expected
O-056,C-056,West,Technology,990.0,148.0,2025-03-13,Second Class,40.0,
O-057,C-057,Central,Office Supplies,230.0,31.0,2025-03-14,Standard,32.0,
O-058,C-058,South,Furniture,870.0,125.0,2025-03-15,Express,63.0,
O-059,C-059,East,Technology,1340.0,205.0,2025-03-16,Standard,36.0,Broken on arrival
O-060,C-060,West,Office Supplies,260.0,36.0,2025-03-17,Standard,33.0,
O-061,C-061,Central,Furniture,770.0,110.0,2025-03-18,Express,61.0,
O-062,C-062,South,Technology,880.0,128.0,2025-03-19,Second Class,37.0,
O-063,C-063,East,Office Supplies,200.0,26.0,2025-03-20,Standard,30.0,Item mismatch
O-064,C-064,Central,Technology,1160.0,176.0,2025-03-21,Express,58.0,
O-065,C-065,West,Furniture,630.0,89.0,2025-03-22,Standard,35.0,
O-066,C-066,South,Technology,980.0,148.0,2025-03-23,Second Class,41.0,
O-067,C-067,Central,Office Supplies,320.0,40.0,2025-03-24,Standard,29.0,
O-068,C-068,East,Furniture,540.0,74.0,2025-03-25,Express,60.0,Wrong category delivered
O-069,C-069,West,Technology,1270.0,192.0,2025-03-26,Second Class,42.0,
O-070,C-070,Central,Office Supplies,280.0,35.0,2025-03-27,Standard,33.0,
O-071,C-071,South,Furniture,850.0,122.0,2025-03-28,Express,65.0,
O-072,C-072,East,Technology,1190.0,178.0,2025-03-29,Standard,30.0,
O-073,C-073,West,Office Supplies,260.0,33.0,2025-03-30,Second Class,39.0,Customer canceled after shipping
O-074,C-074,Central,Furniture,710.0,105.0,2025-03-31,Standard,28.0,
O-075,C-075,South,Technology,950.0,145.0,2025-04-01,Express,62.0,
O-076,C-076,East,Office Supplies,240.0,29.0,2025-04-02,Standard,35.0,
O-077,C-077,West,Furniture,780.0,112.0,2025-04-03,Second Class,43.0,
O-078,C-078,Central,Technology,1110.0,166.0,2025-04-04,Standard,31.0,Arrived too late
O-079,C-079,South,Furniture,640.0,90.0,2025-04-05,Express,64.0,
O-080,C-080,East,Technology,1240.0,186.0,2025-04-06,Standard,34.0,
O-081,C-081,West,Office Supplies,300.0,40.0,2025-04-07,Second Class,40.0,
O-082,C-082,Central,Furniture,670.0,96.0,2025-04-08,Standard,27.0,
O-083,C-083,South,Technology,910.0,134.0,2025-04-09,Express,60.0,Faulty components
O-084,C-084,East,Office Supplies,290.0,38.0,2025-04-10,Standard,32.0,
O-085,C-085,Central,Technology,1310.0,195.0,2025-04-11,Second Class,38.0,
O-086,C-086,South,Furniture,890.0,127.0,2025-04-12,Standard,35.0,
O-087,C-087,West,Technology,970.0,144.0,2025-04-13,Express,65.0,
O-088,C-088,Central,Office Supplies,340.0,43.0,2025-04-14,Standard,33.0,Size discrepancy
O-089,C-089,East,Furniture,750.0,112.0,2025-04-15,Second Class,42.0,
O-090,C-090,West,Technology,1080.0,162.0,2025-04-16,Standard,30.0,Product damaged during handling
O-091,C-091,Central,Office Supplies,210.0,27.0,2025-04-17,Express,61.0,
O-092,C-092,South,Technology,1160.0,173.0,2025-04-18,Standard,29.0,
O-093,C-093,East,Furniture,590.0,84.0,2025-04-19,Second Class,39.0,
O-094,C-094,West,Office Supplies,260.0,33.0,2025-04-20,Standard,32.0,Incorrect quantity
O-095,C-095,Central,Technology,940.0,139.0,2025-04-21,Express,62.0,
O-096,C-096,South,Furniture,860.0,120.0,2025-04-22,Standard,34.0,
O-097,C-097,East,Technology,1210.0,181.0,2025-04-23,Second Class,37.0,Expired item
O-098,C-098,West,Office Supplies,310.0,40.0,2025-04-24,Standard,31.0,
O-099,C-099,Central,Furniture,680.0,95.0,2025-04-25,Express,63.0,Defective batch
O-100,C-100,South,Technology,990.0,148.0,2025-04-26,Standard,30.0,Customer return for refund
